stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
3377699720880711,101,Ancely,43.6185,1.39737,0,1970324837184663,1
3377699720880713,102,Ancely,43.6181,1.39703,0,1970324837184663,1
3377699720880719,16691,Mairie Blagnac,43.6353,1.39651,0,1970324837184667,2
3377699720880720,16690,Mairie Blagnac,43.635,1.39691,0,1970324837184667,1
3377699720880732,3171,Gonin,43.5738,1.48358,0,1970324837184674,1
3377699720880733,3170,Gonin,43.5734,1.48404,0,1970324837184674,1
3377699720880734,5471,Place Dupuy,43.6003,1.45418,0,1970324837184675,1
3377699720880735,5470,Place Dupuy,43.5994,1.45457,0,1970324837184675,1
3377699720880752,11201,Portet Gare SNCF,43.527,1.38846,0,1970324837184685,1
3377699720880757,10165,"Ctre Cial L'Union",43.6571,1.47906,0,1970324837184690,2
3377699720880758,10163,"Ctre Cial L'Union",43.6566,1.47932,0,1970324837184690,2
3377699720880759,10160,"Ctre Cial L'Union",43.6565,1.47985,0,1970324837184690,2
3377699720880761,10162,"Ctre Cial L'Union",43.6569,1.47994,0,1970324837184690,2
3377699720880799,180,Arènes,43.5933,1.41854,0,1970324837184714,1
3377699720880801,185,Arènes,43.5937,1.41859,0,1970324837184714,1
3377699720880802,184,Arènes,43.5937,1.41813,0,1970324837184714,1
3377699720880803,183,Arènes,43.5936,1.41859,0,1970324837184714,2
3377699720880805,188,Arènes,43.5937,1.41864,0,1970324837184714,1
3377699720880806,189,Arènes,43.5938,1.41829,0,1970324837184714,1
3377699720880808,40071,Arènes,43.5932,1.41845,0,1970324837184714,1
3377699720880809,40070,Arènes,43.5932,1.41835,0,1970324837184714,1
3377699720880810,14810,Parc St Agne,43.5525,1.46903,0,1970324837184715,1
3377699720880811,14811,Parc St Agne,43.5529,1.46882,0,1970324837184715,1
3377699720880812,23130,Théogone,43.551,1.4878,0,1970324837184716,2
3377699720880813,18341,Mairie St-Orens,43.552,1.53405,0,1970324837184717,2
3377699720880814,18340,Mairie St-Orens,43.5519,1.53412,0,1970324837184717,2
3377699720880815,3030,Gare des Capelles,43.5975,1.3833,0,1970324837184718,2
3377699720880816,3031,Gare des Capelles,43.5972,1.38322,0,1970324837184718,2
3377699720880818,13740,Marronniers,43.4817,1.43235,0,1970324837184719,2
3377699720880819,13741,Marronniers,43.4818,1.43249,0,1970324837184719,2
3377699720880871,19731,Colomiers Gare SNCF,43.6044,1.33474,0,1970324837184752,1
3377699720880906,40091,St Cyprien - République,43.598,1.43161,0,1970324837184772,1
